Deal_title,Lead_name,Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Contact_no,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Lead_POC_email,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating,Success_probability
Title90V1I,Williams LLC Ltd,Insurance,321686$,1962284.6$,2020-10-04,Product_1,241-222-4047x9669,500 Million - 1 Billion,Category 3,India,Jamshedpur,neelachal,Chief Executive Officer,nicolegonzalez@williams.com,"Engineer, maintenance (IT)",Marketing Event,Level 2,More than a week back,"Georgakopoulos,Vasilios T",We have all the requirements,1,60.8
TitleS15DM,Baker Inc and Sons,Construction Services,226260$,1448064.0$,2019-02-11,Product_1,207.362.6108x40977,50 - 100 Million,Category 1,USA,"Racine, WI",Kathryn Mcmillan,Vice President / GM (04-present) : VP Sales and Marketing (01-04),kathrynmcmillan@baker.com,Accounting technician,Others,Level 3,Pending,"Georgakopoulos,Vasilios T",Yes,2,69.6
Title382HP,Jenkins-Mcneil PLC,Hospitals/Clinics,72684$,421567.2$,2019-10-15,Product_2,720.133.3723x06008,500 Million - 1 Billion,Category 3,India,Mahabubnagar,shanti,Executive Vice President,carolweber@jenkinsmcneil.com,"Scientist, physiological",Others,Level 2,?,"Knox,Antonio D",,3,60.0
TitleOXM8A,Garcia-Adams Inc,Technology Retail,259477$,1569835.85$,2019-11-14,Product_1,+1-814-874-3814x1292,50 - 100 Million,Category 4,India,Krishnapuram,reena,Chairman/Chief Innovation Officer,xavierfowler@garciaadams.com,Publishing copy,Marketing Event,Level 1,No track,"Gaskins Jr,Franklin D",Not enough,1,56.7
TitleGUQQ7,"Saunders, Contreras and Hughes Group",Electric Utilities,248174$,1687583.2$,2021-02-11,Product_1,588-074-2491x1303,100 - 500 Million,Category 4,India,Saidapur,minakshi,CEO/President,joshuasanchez@saunders.com,Clinical molecular geneticist,Marketing Event,Level 2,5 days back,"Booker,David L",Deliverable,5,64.2
Title6PW1I,Martinez Group PLC,Financial Services,98539$,684846.05$,2019-10-02,Product_1,807.068.4861x83217,100 - 500 Million,Category 1,USA,"Durham-Chapel Hill, NC",Marc Powell,Executive Vice President,marcpowell@martinez.com,"Designer, multimedia",Others,Level 3,2 days back,"Salyers,Daniel L",Cannot deliver,5,75.4
Title1ZDEZ,Davis-Williams PLC,Plumbing/HVAC,370405$,2222430.0$,2019-09-10,Product_2,0839977424,100 - 500 Million,Category 3,USA,"Grand Junction, CO",Kelly Sanders,Executive Vice President,kellysanders@daviswilliams.com,Multimedia programmer,Contact Email,Level 2,Following up but lead not responding,"Dyson,William A",Deliverable,2,63.099999999999994
Title5WJHX,"Morgan, Hughes and Gay LLC",Telecom Consulting,300992$,2016646.4$,2021-02-06,Product_2,6642204840,100 - 500 Million,Category 3,USA,"Lima, OH",Erica Jennings,Chairman/Chief Innovation Officer,ericajennings@morgan.com,Civil Service fast streamer,Website,Level 3,Following up but lead not responding,"Hameier,Kurt E",Not enough,4,72.6
Title1AOKR,"Miller, Robles and Adams Inc",Conglomerates,361827$,2243327.4$,2020-12-23,Product_2,+1-874-973-8492x91979,100 - 500 Million,Category 1,India,Mumbai,rukshana,Chairman/CEO/President,williamsweeney@miller.com,"Programmer, applications",Contact Email,Level 1,5 days back,"Tondeur,Keith D",Cannot deliver,4,107.34
TitleLVG9X,Foster and Sons PLC,Semiconductors,196749$,1160819.1$,2020-01-28,Product_2,083.473.6508x3559,500 Million - 1 Billion,Category 3,India,Aurangabad,smt sunita devi,CEO/Chairman/President,randallgriffith@foster.com,Financial manager,Others,Level 2,,"Smith,Keenan H",Not enough,3,62.0
TitleMQD4J,King PLC Ltd,Entertainment/Media,23885$,140921.5$,2020-04-26,Product_2,+1-266-991-1867,50 - 100 Million,Category 2,USA,"La Crosse-Onalaska, WI-MN",Douglas Dorsey,Vice President / GM (04-present) : VP Sales and Marketing (01-04),douglasdorsey@king.com,Research scientist (medical),Others,Level 3,more than a month,"Carter Sr,Clifton E",Not enough,3,68.3
TitleUJ99G,Diaz Ltd and Sons,Non-Profit,498291$,3388378.8$,2020-09-04,Product_2,094.102.3692,50 - 100 Million,Category 1,India,Porbandar,mandothi,CEO/Chairman/President,lorihall@diaz.com,"Surveyor, land/geomatics",Marketing Event,Level 3,Pending,"Knox,Antonio D",Cannot deliver,4,67.8
TitleWZP1Z,"Lynch, Smith and Chapman Inc",Information Services,371469$,2395975.05$,2020-09-09,Product_1,0204913607,50 - 100 Million,Category 1,USA,"Tulsa, OK",Sara Williams,Vice President / GM (04-present) : VP Sales and Marketing (01-04),sarawilliams@lynch.com,Transport planner,Contact Email,Level 1,2 days back,"Gould,Lisa D",Yes,5,107.34
TitleU5TKX,Graves PLC and Sons,Software,74432$,454035.2$,2019-02-01,Product_1,525.030.0062x273,100 - 500 Million,Category 1,USA,"Sebastian-Vero Beach, FL",Thomas Smith,CEO/Chairman/President,thomassmith@graves.com,Contractor,Others,Level 1,Up-to-date,"Houston,Arnold E",No,4,66.9
TitleWDDK2,"Carter, Mitchell and Lopez Ltd",Financial Services,167743$,1132265.25$,2019-06-01,Product_1,080-525-9805x23475,100 - 500 Million,Category 1,USA,Source: U.S. Bureau of Economic Analysis,Isaiah Diaz,CEO/Chairman/President,isaiahdiaz@carter.com,Equities trader,Contact Email,Level 3,,"Bannister,Joan",Cannot deliver,2,107.34
Title05G2K,Young LLC Ltd,Banks,90676$,598461.6$,2019-12-27,Product_1,397.736.7178x2150,50 - 100 Million,Category 4,India,Guntur,shahin,Chairman/Chief Innovation Officer,jessicaprice@young.com,Cartographer,Marketing Event,Level 3,Up-to-date,"Irizarry,Yolanda",Cannot deliver,2,61.099999999999994
TitleNJZFN,"Davies, Smith and Smith Group",Insurance,25839$,170537.4$,2020-12-18,Product_2,223.300.2369,50 - 100 Million,Category 4,,Raurkela,ruksar,CEO/Chairman/President,meganwatson@davies.com,"Psychologist, clinical",Marketing Event,Level 3,Pending,"Tondeur,Keith D",No,3,61.3
TitleCXGYA,"Russell, Shields and West and Sons",Plumbing/HVAC,354006$,2177136.9$,2019-03-16,Product_2,+1-638-460-3867x7853,100 - 500 Million,Category 1,India,Nanded,madhu,Executive Vice President,terrybeck@russell.com,Land,Website,Level 1,Following up but lead not responding,"Morsy,Omar A",Not enough,1,61.0
Title7CM1Y,Sharp-Wilson and Sons,Banks,261734$,1583490.7$,2019-01-01,Product_1,(476)732-3731x126,50 - 100 Million,Category 3,India,Mahabubnagar,alisha loomba,Chairman/Chief Innovation Officer,aprillowery@sharpwilson.com,Manufacturing engineer,Marketing Event,Level 1,Did not hear back after Level 1,"Charles,Caleb",No,5,26.35
TitleT5X6O,Kemp-Hamilton Ltd,Banks,78637$,487549.4$,2020-04-17,Product_2,573-712-3921x582,50 - 100 Million,Category 3,USA,"Champaign-Urbana, IL",Nancy Schmidt,Vice President / GM (04-present) : VP Sales and Marketing (01-04),nancyschmidt@kemphamilton.com,"Programmer, multimedia",Website,Level 1,No track,"Green,Candy",No,5,107.34
Title68L4K,Patterson-Sanders PLC,Banks,399539$,2517095.7$,2020-02-29,Product_2,+1-121-826-8308x4638,500 Million - 1 Billion,Category 1,India,Mirzapur,aarti,CEO/Chairman/President,kennethwhite@pattersonsanders.com,Building control surveyor,Others,Level 1,Up-to-date,"Moran,Natalie A",Deliverable,5,65.4
Title5WD4S,King PLC Inc,Insurance,309253$,1886443.3$,2019-08-30,Product_1,204.612.6531,500 Million - 1 Billion,Category 3,,Sirsa,chanchal,Chief Executive Officer,brianthomas@king.com,Community education officer,Marketing Event,Level 2,more than a month,"Featherstone,Adrian R",No,1,60.8
TitleYZCDS,"Jones, Braun and Jennings LLC",Insurance,205947$,1173897.9$,2019-12-14,Product_1,+1-232-143-6935x001,100 - 500 Million,Category 2,India,Kohima,rani devi,CEO/Chairman/President,lindasmith@jones.com,Technical author,Contact Email,Level 2,No track,"Salyers,Daniel L",Not enough,1,57.599999999999994
TitleT7EF8,Phillips LLC Inc,Insurance,255436$,1545387.8$,2019-07-05,Product_2,+1-734-370-6067,500 Million - 1 Billion,Category 3,,Puducherry,gauri,Vice President / GM (04-present) : VP Sales and Marketing (01-04),jonathangordon@phillips.com,Research scientist (physical sciences),Others,Level 3,Did not hear back after Level 1,"Gould,Lisa D",Deliverable,1,61.5
Title093F1,Graves Group LLC,Other Biz Services,18532$,112118.6$,2020-09-18,Product_2,998.431.8547x441,500 Million - 1 Billion,Category 3,,"South Bend-Mishawaka, IN-MI",Nicholas Wilkinson,Executive Vice President,nicholaswilkinson@graves.com,Control and instrumentation engineer,Others,Level 3,Up-to-date,"Dimattia,Frank D",Deliverable,1,65.5
Title7RP68,Lane LLC PLC,Food Processing,360129$,2070741.75$,2019-11-28,Product_1,701.889.1411,50 - 100 Million,Category 2,India,Tonk,krishna bai,Executive Vice President,jeremycastillo@lane.com,Retail manager,Marketing Event,Level 2,Pending,"Ryker,David",Cannot deliver,2,60.400000000000006
TitleIWN0V,"Butler, Torres and Davis and Sons",Banks,65246$,384951.4$,2021-02-14,Product_2,(387)188-4073,100 - 500 Million,Category 1,India,Kolar,smt santosh,Chairman/CEO/President,dennislane@butler.com,Arboriculturist,Others,Level 2,5 days back,"Anthony,Katherine D",Cannot deliver,2,107.34
TitleQVXRZ,Wilson Group and Sons,Banks,371606$,2155314.8$,2020-11-26,Product_1,105.677.6601x63433,100 - 500 Million,Category 3,India,Allahabad,kumari radha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),darlenebrown@wilson.com,Medical technical officer,Others,Level 2,more than a month,"Ali,Mohamed",No,3,60.599999999999994
TitleZZXEA,Rivera-Greene Group,Movies,,1977882.7$,2020-10-20,Product_2,(730)567-9083x835,500 Million - 1 Billion,Category 4,USA,"Jackson, TN",Carrie Hawkins,CEO/President,carriehawkins@riveragreene.com,"Engineer, maintenance (IT)",Contact Email,Level 3,Up-to-date,"Pappas,Mark S",Yes,1,107.34
Title1BNFG,"Moore, Adams and Owens and Sons",Banks,49257$,288153.45$,2020-03-17,Product_1,334.120.3348x461,50 - 100 Million,Category 3,USA,"Brunswick, GA",Erin Harrison,CEO,erinharrison@moore.com,Legal secretary,Contact Email,Level 2,5 days back,"Gaskins Jr,Franklin D",Cannot deliver,3,62.8
Title36GTX,Wagner LLC Group,Investment Bank/Brokerage,457357$,3132895.45$,2020-02-07,Product_2,452-566-7096,500 Million - 1 Billion,Category 1,USA,"Anniston-Oxford-Jacksonville, AL",Brittany Bailey,Chairman/Chief Innovation Officer,brittanybailey@wagner.com,"Therapist, drama",Website,Level 2,Following up but lead not responding,"Shelton,Sidney P",We have all the requirements,3,74.3
Title60WEO,Hendricks and Sons PLC,Other,203022$,1299340.8$,2020-02-23,Product_2,(770)823-2442x92490,500 Million - 1 Billion,Category 2,,"Mobile, AL",Amanda May,Vice President / GM (04-present) : VP Sales and Marketing (01-04),amandamay@hendricks.com,"Social research officer, government",Contact Email,Level 2,Up-to-date,"Ali,Mohamed",Cannot deliver,5,107.34
TitleO03XW,Rodriguez-Jones Ltd,Banks,434444$,2954219.2$,2019-02-20,Product_2,344-756-4684x14075,50 - 100 Million,Category 4,India,Rohtak,laxmi,Chairman/Chief Innovation Officer,earlnielsen@rodriguezjones.com,Aeronautical engineer,Marketing Event,Level 3,2 days back,"Mabrey,Kevin C",Deliverable,4,64.3
TitleG2JPO,Ortiz-Cooper Ltd,Banks,470078$,2961491.4$,2021-01-27,Product_2,+1-410-663-3890x958,500 Million - 1 Billion,Category 4,India,Chikka Mandya,chandni,CEO/Chairman/President,hannahpowers@ortizcooper.com,Optometrist,Contact Email,Level 2,More than 2 weeks,"Salyers,Daniel L",We have all the requirements,2,26.35
TitleG2ESS,Martinez PLC and Sons,Non-Profit,228755$,1395405.5$,2020-01-09,Product_1,286-945-9331,500 Million - 1 Billion,Category 1,,Chikka Mandya,simran,SVP/General Counsel ,marysingh@martinez.com,Fashion designer,Others,Level 1,?,"Massiah,Gerard F",Cannot deliver,3,63.3
TitleTIFWR,Harvey and Sons PLC,REIT,12023$,74542.6$,2021-01-04,Product_2,500-527-1466x030,50 - 100 Million,Category 4,,Kumbakonam,kumari bhoomika,Executive Vice President,ericawalls@harvey.com,Clinical cytogeneticist,Website,Level 1,,"McKenstry,Loretta A",Cannot deliver,5,59.3
TitleMAXDM,Wright-Stone PLC,Hospitals/Clinics,322910$,2131206.0$,2020-11-26,Product_1,001-158-260-5501,50 - 100 Million,Category 1,India,Bareilly,rakhi,Chairman/CEO/President,coreyanderson@wrightstone.com,Armed forces training and education officer,Contact Email,Level 3,more than a month,"Green,Candy",Yes,3,64.5
Title5EF82,Castillo and Sons Ltd,Retail,34515$,215718.75$,2020-08-07,Product_2,436.612.8502,500 Million - 1 Billion,Category 3,,"Lawton, OK",Carl Allen,CEO/President,carlallen@castillo.com,Learning disability nurse,Contact Email,Level 3,More than 2 weeks,"Hameier,Kurt E",Cannot deliver,2,26.35
TitleSBS5Q,Perkins-Campbell Group,Architecture/Engineering,34307$,202411.3$,2019-10-17,Product_1,+1-227-228-8129x7009,500 Million - 1 Billion,Category 4,India,Ludhiana,kiran,Chairman/Chief Innovation Officer,georgeprice@perkinscampbell.com,Air broker,Contact Email,Level 1,,"Cashin,Marc C",We have all the requirements,2,52.3
Title8UGJB,"Bryant, Weber and King LLC",Staffing,97418$,642958.8$,2020-05-17,Product_2,999.607.0532x31490,500 Million - 1 Billion,Category 3,USA,"Ames, IA",Terry Castillo,Chairman/Chief Innovation Officer,terrycastillo@bryant.com,"Scientist, physiological",Website,Level 3,Did not hear back after Level 1,"Meli,Teresa V",We have all the requirements,2,70.8
TitleEWCTS,Arnold-Morgan and Sons,Real Estate,495138$,2871800.4$,2019-10-04,Product_1,528.269.0432,500 Million - 1 Billion,Category 2,India,Coimbatore,reshma,CEO/Co-Founder/Chairman,ashleywood@arnoldmorgan.com,"Administrator, arts",Marketing Event,Level 1,More than 2 weeks,"Moran,Natalie A",Not enough,1,26.35
TitleX8KI5,"Stafford, Bell and Johnson Inc",Healthcare Facilities/Services,123538$,778289.4$,2019-07-05,Product_1,+1-954-804-0458x9420,500 Million - 1 Billion,Category 3,USA,"Los Angeles-Long Beach-Anaheim, CA",Cynthia Wise,Chairman/CEO/President,cynthiawise@stafford.com,Press sub,Marketing Event,Level 2,More than a week back,"Ali,Mohamed",No,1,8.0
Title3OMM0,"Buck, Wallace and Blake Ltd",Restaurants,140913$,852523.65$,2020-04-02,Product_1,001-274-360-8629x59302,50 - 100 Million,Category 1,USA,"Portland-South Portland, ME",Jeffrey Burns,Chief Executive Officer,jeffreyburns@buck.com,Radio broadcast assistant,Contact Email,Level 1,More than a week back,"Mabrey,Kevin C",No,2,63.900000000000006
Title8DZVO,"Morales, Stephens and Leon and Sons",Banks,348787$,2214797.45$,2020-08-09,Product_2,+1-253-841-5309x46438,100 - 500 Million,Category 1,India,Parbhani,reena,CEO/President,andreayoung@morales.com,"Physicist, medical",Website,Level 1,2 days back,"Cash,Tyrone J",We have all the requirements,3,64.2
TitleT561U,Franco PLC and Sons,Restaurants,267749$,1566331.65$,2019-08-20,Product_2,+1-800-499-2641x024,50 - 100 Million,Category 3,USA,"Allentown-Bethlehem-Easton, PA-NJ",James Hill,CEO/Chairman/President,jameshill@franco.com,Primary school teacher,Contact Email,Level 2,?,"Brown,Maxine A",We have all the requirements,1,62.599999999999994
Title51737,"Miller, Brooks and Johnston LLC",Hospitals/Clinics,117231$,756139.95$,2020-12-22,Product_2,5173545384,500 Million - 1 Billion,Category 1,India,Tezpur,pooja,CEO,mrs.carrie@miller.com,"Engineer, water",Others,Level 3,More than 2 weeks,"Booker,David L",Not enough,1,64.5
TitleKZ7LA,Sims-Henderson LLC,Banks,85662$,565369.2$,2020-10-02,Product_2,+1-859-863-1225,50 - 100 Million,Category 3,USA,"Dayton, OH",Kristina Cannon,SVP/General Counsel ,kristinacannon@simshenderson.com,Energy manager,Marketing Event,Level 3,More than a week back,"Turner,Marlon D",Deliverable,4,71.8
TitleVZMFB,Harris-Peterson PLC,Banks,450167$,2836052.1$,2019-01-23,Product_1,001-068-061-5225x16092,50 - 100 Million,Category 2,,"Springfield, OH",Oscar Smith,CEO,oscarsmith@harrispeterson.com,Advertising account executive,Contact Email,Level 3,more than a month,"Green,Ann E",No,4,70.0
TitleTI0NJ,"Palmer, Patel and Lopez Ltd",Other Investment Firms,123244$,720977.4$,2019-10-24,Product_2,923-980-1734x690,50 - 100 Million,Category 3,USA,"Tucson, AZ",Joseph Smith,Chief Executive Officer,josephsmith@palmer.com,"Engineer, mining",Marketing Event,Level 1,more than a month,"Turner,Marlon D",We have all the requirements,2,64.2
Title8EFPM,"Brown, Bush and Stephenson PLC","Oil, Gas, Coal",41752$,254687.2$,2019-03-15,Product_2,044.847.9225,500 Million - 1 Billion,Category 1,,"Baltimore-Columbia-Towson, MD",John White,Chairman/CEO/President,johnwhite@brown.com,Tour manager,Contact Email,Level 1,More than a week back,"Thomas,Lori E",We have all the requirements,1,62.8
TitleHX65I,Powell and Sons and Sons,Outsourcing,468035$,3135834.5$,2020-12-26,Product_1,218-949-9060,500 Million - 1 Billion,Category 4,USA,"Staunton-Waynesboro, VA",Steven Patterson,Chairman/Chief Innovation Officer,stevenpatterson@powell.com,Games developer,Marketing Event,Level 2,more than a month,"Green,Candy",Yes,1,67.3
TitleGP2OR,Cummings-Henson Group,Investment Bank/Brokerage,427523$,2971284.85$,2020-05-21,Product_1,(599)446-9255x47316,100 - 500 Million,Category 4,USA,"Grand Island, NE",Kevin Sullivan,CEO/Chairman/President,kevinsullivan@cummingshenson.com,Clinical molecular geneticist,Others,Level 3,No track,"Hebron,Artenia D",Not enough,5,71.9
TitleTV00H,Brennan Inc and Sons,Financial Services,166792$,975733.2$,2020-10-12,Product_1,(149)799-4294x3200,100 - 500 Million,Category 2,India,Chirala,rajni devi,SVP/General Counsel ,lisadominguez@brennan.com,"Surveyor, mining",Website,Level 2,,"Jones,Eyvette W",,2,61.2
TitleJ58R2,Cook-Finley PLC,Venture Capital,481181$,2742731.7$,2021-02-05,Product_2,+1-828-038-7807,100 - 500 Million,Category 2,USA,"Cape Coral-Fort Myers, FL",Sean Carr,CEO/Co-Founder/Chairman,seancarr@cookfinley.com,Insurance broker,Contact Email,Level 1,5 days back,"Hebron,Artenia D",Yes,1,62.900000000000006
TitleGW2I6,Morris-Humphrey Group,Associations,217181$,1389958.4$,2019-07-31,Product_1,(148)444-5639,100 - 500 Million,Category 3,USA,"Longview, WA",Hunter Sanchez,Chairman/Chief Innovation Officer,huntersanchez@morrishumphrey.com,Armed forces technical officer,Marketing Event,Level 2,more than a month,"Gilley,Janine",Cannot deliver,3,69.6
Title1QX0N,Bradley-Phillips PLC,Packaging/Containers,373533$,2091784.8$,2019-05-30,Product_2,806.910.3997x56651,100 - 500 Million,Category 3,India,Bhagalpur,sugna,CEO,mariaross@bradleyphillips.com,"Scientist, biomedical",Others,Level 2,Up-to-date,"Ali,Mohamed",No,1,57.400000000000006
TitleXCN1I,"Mcbride, Chapman and Fuentes and Sons",Sales/Marketing Software,102658$,703207.3$,2019-01-05,Product_1,(826)763-1411x23319,500 Million - 1 Billion,Category 1,India,Silchar,nayna,Chairman/Chief Innovation Officer,benjaminking@mcbride.com,Financial controller,Contact Email,Level 3,?,"Hameier,Kurt E",Deliverable,4,66.4
TitleZXQOA,Gordon-Garcia and Sons,Insurance,414536$,2321401.6$,2019-08-16,Product_1,456-283-5528,500 Million - 1 Billion,Category 2,India,Kolar,khushboo,CEO/Co-Founder/Chairman,javiertorres@gordongarcia.com,Barrister,Others,Level 1,More than 2 weeks,"Maine,John P",We have all the requirements,4,26.35
TitlePD5S6,"Smith, Yang and James Group",Banks,132273$,866388.15$,2021-01-10,Product_1,259.455.3176,100 - 500 Million,Category 3,USA,"Milwaukee-Waukesha-West Allis, WI",Jeremy Alexander,Chairman/CEO/President,jeremyalexander@smith.com,Aid worker,Marketing Event,Level 3,more than a month,"Meli,Teresa V",We have all the requirements,1,69.1
TitleWTTJL,Soto PLC Group,Banks,435308$,2938329.0$,2020-09-07,Product_1,298.689.7497,100 - 500 Million,Category 4,India,Belgaum,neelu,SVP/General Counsel ,christopherporter@soto.com,Higher education lecturer,Contact Email,Level 3,more than a month,"Pappas,Mark S",Deliverable,3,61.5
TitleL6TYQ,"Anderson, Hooper and Pace LLC",Banks,152904$,1009166.4$,2020-03-03,Product_1,130.901.8891,100 - 500 Million,Category 4,USA,"North Port-Sarasota-Bradenton, FL",Brendan Sosa,Executive Vice President,brendansosa@anderson.com,Network engineer,Marketing Event,Level 2,More than 2 weeks,"Massiah,Gerard F",We have all the requirements,2,65.9
TitleR6C17,Walton and Sons Inc,Lending/Mortgage,37751$,234056.2$,2020-08-13,Product_2,001-793-325-1139x8872,50 - 100 Million,Category 3,USA,"Grand Island, NE",Leon Thompson,Chief Executive Officer,leonthompson@walton.com,Records manager,Others,Level 3,No track,"Davis,Brian R",Cannot deliver,5,68.9
TitleCGOFC,Ford-Fisher Ltd,Auto Parts/Services,378778$,2499934.8$,2019-10-31,Product_2,599-519-7778x25522,100 - 500 Million,Category 1,India,Fyzabad,wilkish,CEO/Chairman/President,tamarakaiser@fordfisher.com,"Copywriter, advertising",Marketing Event,Level 1,Pending,"Carter Sr,Clifton E",Yes,5,66.0
TitleO47RS,"Gonzales, Jones and Lee Ltd",Banks,125209$,832639.85$,2020-10-25,Product_2,247.585.6297,500 Million - 1 Billion,Category 4,India,Mysore,doli,CEO/Chairman/President,marywilliams@gonzales.com,Retail merchandiser,Contact Email,Level 3,No track,"Morsy,Omar A",No,1,59.7
TitleO6K5S,"Fry, Dickerson and Hogan LLC",Medical Equipment,210300$,1251285.0$,2020-11-06,Product_1,846.251.9028x808,100 - 500 Million,Category 3,India,Latur,sapna,Chairman/CEO/President,madisonjones@fry.com,Make,Others,Level 3,more than a month,"Logan,Kevin N",Yes,1,60.099999999999994
TitleWL5HX,"Crosby, Harris and Chung PLC",Banks,424365$,,2020-01-13,Product_1,4393262020,50 - 100 Million,Category 4,,"Knoxville, TN",Tammy George,CEO,tammygeorge@crosby.com,"Engineer, control and instrumentation",Website,Level 2,2 days back,"Dyson,William A",Not enough,4,68.9
Title767ZM,Powell-Perkins LLC,Hospitals/Clinics,44241$,318535.2$,2019-01-13,Product_1,+1-295-152-1597x1923,500 Million - 1 Billion,Category 4,USA,"Harrisburg-Carlisle, PA",Amanda Martin,Chairman/Chief Innovation Officer,amandamartin@powellperkins.com,"Teacher, adult education",Website,Level 3,More than a week back,"Maine,John P",No,5,72.6
TitleM2XA4,Wilkinson-Gomez Group,Financial Services,322133$,2222717.7$,2021-01-14,Product_1,001-409-029-9161x0804,500 Million - 1 Billion,Category 1,India,Jodhpur,rajni,Vice President / GM (04-present) : VP Sales and Marketing (01-04),melissacoleman@wilkinsongomez.com,"Conservation officer, nature",Marketing Event,Level 2,,"Moran,Natalie A",Cannot deliver,5,69.1
Title0Y1AB,Wilson-Smith LLC,Banks,101483$,608898.0$,2020-08-11,Product_2,355.387.8090,50 - 100 Million,Category 3,USA,"Savannah, GA",Rebecca Cunningham,SVP/General Counsel ,rebeccacunningham@wilsonsmith.com,Insurance account manager,Website,Level 1,Pending,"Maine,John P",Not enough,4,67.7
TitleD8IIQ,"Williams, Ward and Pacheco PLC",Insurance,253291$,1557739.65$,2019-08-25,Product_2,009.861.2319x45412,100 - 500 Million,Category 3,,Chennai,monika mishra,CEO/President,joycemckinney@williams.com,Air cabin crew,Contact Email,Level 3,2 days back,"Hameier,Kurt E",No,2,58.8
TitleXB977,Rivera-Gordon LLC,Healthcare Facilities/Services,121134$,787371.0$,2020-02-12,Product_1,2805814946,500 Million - 1 Billion,Category 2,India,Chennai,anshu rathor,Chairman/CEO/President,dianapowell@riveragordon.com,Lawyer,Website,Level 3,?,"Pappas,Mark S",Yes,3,68.5
TitleLCM9D,"Webster, Mcdonald and Decker Inc",Banks,325053$,2129097.15$,2019-12-30,Product_2,001-367-100-1838x5073,100 - 500 Million,Category 3,USA,"Champaign-Urbana, IL",Melissa Miller,CEO/Chairman/President,melissamiller@webster.com,"Designer, exhibition/display",Contact Email,Level 3,more than a month,"Knox,Antonio D",Yes,4,69.0
TitleACS6R,Moss and Sons Ltd,Banks,97932$,582695.4$,2019-05-17,Product_1,001-365-430-3282x8844,50 - 100 Million,Category 2,India,Vadodara,pooja,Executive Vice President,williamhanson@moss.com,Food technologist,Marketing Event,Level 2,More than a week back,"Ullrich,Rose Anne",Yes,4,63.599999999999994
TitleN34X3,"Howard, Jones and Chaney Ltd",Banks,144723$,904518.75$,2019-01-20,Product_1,(495)045-7369,500 Million - 1 Billion,Category 1,India,Haripur,unknown,CEO/President,matthewmiller@howard.com,"Programme researcher, broadcasting/film/video",Website,Level 1,2 days back,"Smith,Keenan H",Yes,1,62.400000000000006
Title0ALBT,Santos PLC LLC,Healthcare Facilities/Services,411675$,2655303.75$,2020-09-17,Product_1,+1-562-646-2055,500 Million - 1 Billion,Category 4,,Kurnool,prem lata,Executive Vice President,davidmitchell@santos.com,"Engineer, building services",Others,Level 3,Up-to-date,"Bannister,Joan",Cannot deliver,1,61.0
Title0LKX5,Small-Allen and Sons,Sales/Marketing Services,126161$,,2020-01-25,Product_2,001-982-455-8533x57446,500 Million - 1 Billion,Category 1,USA,"Mount Vernon-Anacortes, WA",Mary Hill,CEO/Co-Founder/Chairman,maryhill@smallallen.com,Environmental education officer,Others,Level 1,More than a week back,"Meli,Teresa V",Yes,5,72.4
TitleK81AR,Ross PLC Inc,Insurance,494017$,2964102.0$,2019-01-11,Product_1,857-761-1392x518,50 - 100 Million,Category 3,India,Sirsa,raziya,CEO/President,justincampos@ross.com,Biomedical scientist,Website,Level 2,Did not hear back after Level 1,"Jones,Eyvette W",We have all the requirements,3,62.400000000000006
Title9C3RN,Rodriguez-Jackson LLC,Banks,354714$,2199226.8$,2021-01-20,Product_2,868.330.8691,100 - 500 Million,Category 1,India,Chennai,gudiya,SVP/General Counsel ,natalieking@rodriguezjackson.com,Building surveyor,Contact Email,Level 2,Pending,"Young,Valerie K",Deliverable,1,59.099999999999994
TitleJRJTN,Alexander-Lopez Group,Banks,158774$,1111418.0$,2020-07-14,Product_1,+1-274-363-9229,50 - 100 Million,Category 4,USA,"Jacksonville, NC",Angela Pena,Chief Executive Officer,angelapena@alexanderlopez.com,Environmental health practitioner,Marketing Event,Level 3,Following up but lead not responding,"Davis,Sharrice A",We have all the requirements,4,26.35
TitleJTVJC,"Burch, Wright and Smith and Sons",Grocery,247543$,1435749.4$,2020-06-19,Product_1,001-692-546-4616x128,100 - 500 Million,Category 3,USA,"Victoria, TX",Brian Summers,CEO/Chairman/President,briansummers@burch.com,Site engineer,Contact Email,Level 1,?,"Himes,Maurice C",Not enough,1,107.34
TitleIV08G,Phillips-Gould Group,Security Hardware,75485$,445361.5$,2020-04-27,Product_2,(552)309-4633x646,500 Million - 1 Billion,Category 3,India,DehraDun,sunita kumari,Chairman/Chief Innovation Officer,jerrylopez@phillipsgould.com,Musician,Contact Email,Level 2,No track,"Sutton,Michelle R",We have all the requirements,2,57.5
Title8E0SD,Ford-Robinson PLC,Banks,455390$,2846187.5$,2019-04-22,Product_1,(509)251-3700x8517,50 - 100 Million,Category 1,USA,"Modesto, CA",Mark Mcintosh,CEO,markmcintosh@fordrobinson.com,Drilling engineer,Contact Email,Level 2,Up-to-date,"Moran,Natalie A",We have all the requirements,1,65.6
